Make,Class,Engine,Tran,Fuel,City,Hwy
FIAT 500 HATCHBACK,S,1.4/4,M5,X,44,58
FIAT 500 HATCHBACK TURBO,S,1.4/4,M5,X,40,50
FORD C-MAX HYBRID,L,2.0/4,AV,X,67,58
FORD E150 VAN FFV,F,4.6/8,A4,E,13,17
FORD E150 VAN FFV,F,4.6/8,A4,X,18,23
FORD E150 VAN FFV,F,5.4/8,A4,E,13,17
FORD E150 VAN FFV,F,5.4/8,A4,X,16,23
FORD E150 WAGON FFV,F,4.6/8,A4,E,12,16
FORD E150 WAGON FFV,F,4.6/8,A4,X,17,23
FORD E150 WAGON FFV,F,5.4/8,A4,E,12,16
FORD E150 WAGON FFV,F,5.4/8,A4,X,16,22
FORD E350 WAGON FFV,F,5.4/8,A4,E,12,16
FORD E350 WAGON FFV,F,5.4/8,A4,X,15,21
FORD EDGE,SP,2.0/4,A6,X,29,43
FORD EDGE,SP,3.5/6,AS6,X,25,39
FORD EDGE AWD,SP,3.5/6,AS6,X,24,36
FORD EDGE AWD,SP,3.7/6,AS6,X,23,32
FORD ESCAPE,SP,1.6/4,AS6,X,31,47
FORD ESCAPE,SP,2.0/4,AS6,X,30,42
FORD ESCAPE,SP,2.5/4,AS6,X,30,45
FORD ESCAPE AWD,SP,1.6/4,AS6,X,31,43
FORD ESCAPE AWD,SP,2.0/4,AS6,X,29,41
FORD EXPEDITION 4X4 FFV,SP,5.4/8,A6,E,13,18
FORD EXPEDITION 4X4 FFV,SP,5.4/8,A6,X,17,25
FORD EXPLORER,SP,2.0/4,A6,X,27,40
FORD EXPLORER FFV,SP,3.5/6,AS6,E,17,26
FORD EXPLORER FFV,SP,3.5/6,AS6,X,23,34
FORD EXPLORER FFV AWD,SP,3.5/6,AS6,E,17,24
FORD EXPLORER FFV AWD,SP,3.5/6,AS6,X,22,32
FORD F150,PU,3.5/6,A6,X,22,31
FORD F150,PU,3.5/6,AS6,X,22,31
FORD F150,PU,6.2/8,AS6,X,17,26
FORD F150 4X4,PU,3.5/6,A6,X,20,29
FORD F150 4X4,PU,3.5/6,AS6,X,20,29
FORD F150 4X4,PU,6.2/8,AS6,X,16,23
FORD F150 FFV,PU,3.7/6,A6,E,16,24
FORD F150 FFV,PU,3.7/6,AS6,E,17,24
FORD F150 FFV,PU,3.7/6,A6,X,23,32
FORD F150 FFV,PU,3.7/6,AS6,X,23,32
FORD F150 FFV,PU,5.0/8,A6,E,15,21
FORD F150 FFV,PU,5.0/8,AS6,E,15,21
FORD F150 FFV,PU,5.0/8,A6,X,20,29
FORD F150 FFV,PU,5.0/8,AS6,X,20,29
FORD F150 FFV 4X4,PU,3.7/6,A6,E,16,22
FORD F150 FFV 4X4,PU,3.7/6,AS6,E,16,22
FORD F150 FFV 4X4,PU,3.7/6,A6,X,21,29
FORD F150 FFV 4X4,PU,3.7/6,AS6,X,21,29
FORD F150 FFV 4X4,PU,5.0/8,A6,E,14,19
FORD F150 FFV 4X4,PU,5.0/8,AS6,E,14,19
FORD F150 FFV 4X4,PU,5.0/8,A6,X,19,27
FORD F150 FFV 4X4,PU,5.0/8,AS6,X,19,26
FORD FIESTA,S,1.6/4,A6,X,41,55
FORD FIESTA,S,1.6/4,M5,X,41,55
FORD FIESTA SFE,S,1.6/4,A6,X,41,58
FORD FLEX,SP,3.5/6,AS6,X,24,35
FORD FLEX AWD NA,SP,3.5/6,AS6,X,23,33
FORD FLEX AWD TC,SP,3.5/6,AS6,X,22,32
FORD FOCUS,C,2.0/4,M6,X,32,46
FORD FOCUS FFV,C,2.0/4,A6,E,28,41
FORD FOCUS FFV,C,2.0/4,M5,E,27,38
FORD FOCUS FFV,C,2.0/4,AS6,E,28,41
FORD FOCUS FFV,C,2.0/4,A6,X,38,55
FORD FOCUS FFV,C,2.0/4,M5,X,36,51
FORD FOCUS FFV,C,2.0/4,AS6,X,38,55
FORD FOCUS SFE FFV,C,2.0/4,A6,E,28,40
FORD FOCUS SFE FFV,C,2.0/4,A6,X,39,59
FORD FUSION,M,1.6/4,M6,X,35,53
FORD FUSION,M,1.6/4,AS6,X,32,51
FORD FUSION,M,2.0/4,AS6,X,31,48
FORD FUSION,M,2.5/4,AS6,X,31,49
FORD FUSION (Auto Start-Stop),M,1.6/4,AS6,X,33,53
FORD FUSION AWD,M,2.0/4,AS6,X,30,45
FORD FUSION HYBRID,M,2.0/4,AV,X,71,69
FORD MUSTANG,S,3.7/6,A6,X,26,45
FORD MUSTANG,S,3.7/6,M6,X,25,42
FORD MUSTANG,S,5.0/8,A6,X,24,36
FORD MUSTANG,S,5.0/8,M6,X,20,36
FORD MUSTANG,S,5.8/8,M6,Z,20,33
FORD MUSTANG CONVERTIBLE,S,3.7/6,A6,X,26,41
FORD TAURUS,L,2.0/4,AS6,X,31,46
FORD TAURUS AWD,L,3.5/6,AS6,X,23,36
FORD TAURUS FFV,L,3.5/6,AS6,E,18,30
FORD TAURUS FFV,L,3.5/6,AS6,X,26,41
FORD TAURUS FFV AWD,L,3.5/6,AS6,E,17,27
FORD TAURUS FFV AWD,L,3.5/6,AS6,X,25,37
FORD TRANSIT CONNECT VAN,F,2.0/4,A4,X,29,38
FORD TRANSIT CONNECT WAGON,SP,2.0/4,A4,X,30,38
GMC ACADIA,SP,3.6/6,A6,X,22,34
GMC ACADIA AWD,SP,3.6/6,A6,X,21,32
GMC SAVANA 1500 CARGO,F,4.3/6,A4,X,20,28
GMC SAVANA 1500 CARGO,F,5.3/8,A4,X,17,25
GMC SAVANA 1500 CARGO,F,5.3/8,A4,E,13,19
GMC SAVANA 1500 CARGO AWD,F,5.3/8,A4,X,17,23
GMC SAVANA 1500 CARGO AWD,F,5.3/8,A4,E,12,17
GMC SAVANA 1500 CARGO CONV,F,5.3/8,A4,X,17,24
GMC SAVANA 1500 CARGO CONV,F,5.3/8,A4,E,13,18
GMC SAVANA 1500 CARGO CONV AWD,F,5.3/8,A4,X,17,23
GMC SAVANA 1500 CARGO CONV AWD,F,5.3/8,A4,E,12,17
GMC SAVANA 1500 PASSENGER,F,5.3/8,A4,X,17,24
GMC SAVANA 1500 PASSENGER,F,5.3/8,A4,E,13,18
GMC SAVANA 1500 PASSENGER AWD,F,5.3/8,A4,X,17,23
GMC SAVANA 1500 PASSENGER AWD,F,5.3/8,A4,E,12,17
GMC SAVANA 2500 PASSENGER,F,4.8/8,A6,X,15,23
GMC SAVANA 2500 PASSENGER,F,4.8/8,A6,E,11,17
GMC SAVANA 2500 PASSENGER,F,6.0/8,A6,X,14,22
GMC SAVANA 2500 PASSENGER,F,6.0/8,A6,E,10,16
GMC SAVANA 3500 PASSENGER,F,4.8/8,A6,X,15,23
GMC SAVANA 3500 PASSENGER,F,4.8/8,A6,E,11,17
GMC SAVANA 3500 PASSENGER,F,6.0/8,A6,X,14,22
GMC SAVANA 3500 PASSENGER,F,6.0/8,A6,E,10,16
GMC SIERRA,PU,4.3/6,A4,X,20,28
GMC SIERRA,PU,4.8/8,A4,X,19,27
GMC SIERRA,PU,4.8/8,A4,E,14,20
GMC SIERRA,PU,5.3/8,A6,X,20,30
GMC SIERRA,PU,5.3/8,A6,E,14,23
GMC SIERRA,PU,6.2/8,A6,Z,17,25
GMC SIERRA,PU,6.2/8,A6,E,12,19
GMC SIERRA 4WD,PU,4.3/6,A4,X,19,25
GMC SIERRA 4WD,PU,4.8/8,A4,X,18,25
GMC SIERRA 4WD,PU,4.8/8,A4,E,13,19
GMC SIERRA 4WD,PU,5.3/8,A6,X,20,30
GMC SIERRA 4WD,PU,5.3/8,A6,E,14,23
GMC SIERRA 4WD,PU,6.2/8,A6,Z,16,25
GMC SIERRA 4WD,PU,6.2/8,A6,E,12,18
GMC SIERRA DENALI AWD,PU,6.2/8,A6,Z,16,25
GMC SIERRA DENALI AWD,PU,6.2/8,A6,E,12,19
GMC SIERRA HYBRID,PU,6.0/8,AV,X,28,34
GMC SIERRA HYBRID 4WD,PU,6.0/8,AV,X,28,33
GMC SIERRA XFE,PU,5.3/8,A6,X,21,31
GMC SIERRA XFE,PU,5.3/8,A6,E,15,23
GMC TERRAIN,SP,2.4/4,A6,X,31,46
GMC TERRAIN,SP,3.6/6,A6,X,23,35
GMC TERRAIN,SP,3.6/6,A6,E,17,25
GMC TERRAIN AWD,SP,2.4/4,A6,X,28,41
GMC TERRAIN AWD,SP,3.6/6,A6,X,21,34
GMC TERRAIN AWD,SP,3.6/6,A6,E,16,24
GMC YUKON,SP,5.3/8,A6,X,20,30
GMC YUKON,SP,5.3/8,A6,E,14,23
GMC YUKON 4WD,SP,5.3/8,A6,X,20,30
GMC YUKON 4WD,SP,5.3/8,A6,E,14,23
GMC YUKON DENALI AWD,SP,6.2/8,A6,Z,18,28
GMC YUKON DENALI AWD,SP,6.2/8,A6,E,13,20
GMC YUKON DENALI HYBRID 4WD,SP,6.0/8,AV,X,27,33
GMC YUKON DENALI XL AWD,SP,6.2/8,A6,Z,17,25
GMC YUKON DENALI XL AWD,SP,6.2/8,A6,E,12,18
GMC YUKON HYBRID,SP,6.0/8,AV,X,28,34
GMC YUKON HYBRID 4WD,SP,6.0/8,AV,X,27,33
GMC YUKON XL,SP,5.3/8,A6,X,20,30
GMC YUKON XL,SP,5.3/8,A6,E,14,23
GMC YUKON XL 4WD,SP,5.3/8,A6,X,20,30
GMC YUKON XL 4WD,SP,5.3/8,A6,E,14,23
GMC YUKON XL 4WD HD,SP,6.0/8,A6,X,14,22
GMC YUKON XL HD,SP,6.0/8,A6,X,14,22
HONDA ACCORD,M,2.4/4,AV,X,36,51
HONDA ACCORD,M,2.4/4,M6,X,32,50
HONDA ACCORD,M,2.4/4,AV7,X,36,51
HONDA ACCORD,M,3.5/6,A6,X,29,50
HONDA ACCORD,M,3.5/6,M6,X,25,40
HONDA ACCORD,M,3.5/6,AS6,X,28,46
HONDA CIVIC,C,1.8/4,A5,X,40,56
HONDA CIVIC,C,1.8/4,M5,X,39,52
HONDA CIVIC,C,2.4/4,M6,Z,28,44
HONDA CIVIC HYBRID,C,1.5/4,AV,X,64,67
HONDA CROSSTOUR,SP,2.4/4,A5,X,30,44
HONDA CROSSTOUR,SP,3.5/6,A6,X,27,43
HONDA CROSSTOUR AWD,SP,3.5/6,A6,X,25,40
HONDA CR-V,SP,2.4/4,A5,X,31,44
HONDA CR-V AWD,SP,2.4/4,A5,X,31,43
HONDA CR-Z,T,1.5/4,M6,X,44,55
HONDA CR-Z,T,1.5/4,AV7,X,52,56
HONDA FIT,W,1.5/4,A5,X,40,52
HONDA FIT,W,1.5/4,M5,X,40,50
HONDA INSIGHT,C,1.3/4,AV,X,60,64
HONDA INSIGHT EX,C,1.3/4,AV7,X,60,66
HONDA ODYSSEY,V,3.5/6,A5,X,24,39
HONDA ODYSSEY TOURING,V,3.5/6,A6,X,26,40
HONDA PILOT,SP,3.5/6,A5,X,24,36
HONDA PILOT AWD,SP,3.5/6,A5,X,23,34
HONDA RIDGELINE AWD,PU,3.5/6,A5,X,21,29
HYUNDAI ACCENT,C,1.6/4,AS6,X,39,54
HYUNDAI ACCENT,C,1.6/4,M6,X,40,53
HYUNDAI ELANTRA,M,1.8/4,AS6,X,39,54
HYUNDAI ELANTRA,M,1.8/4,M6,X,40,54
HYUNDAI ELANTRA COUPE,M,1.8/4,AS6,X,37,53
HYUNDAI ELANTRA COUPE,M,1.8/4,M6,X,39,54
HYUNDAI ELANTRA GT,M,1.8/4,AS6,X,37,53
HYUNDAI ELANTRA GT,M,1.8/4,M6,X,36,53
HYUNDAI EQUUS,L,5.0/8,AS8,Z,21,33
HYUNDAI GENESIS,L,3.8/6,AS8,X,25,39
HYUNDAI GENESIS COUPE,S,2.0/4,AS8,Z,27,44
HYUNDAI GENESIS COUPE,S,2.0/4,M6,Z,28,43
HYUNDAI GENESIS COUPE,S,3.8/6,AS8,Z,25,40
HYUNDAI GENESIS COUPE,S,3.8/6,M6,Z,25,39
HYUNDAI GENESIS R SPEC,L,5.0/8,AS8,Z,21,33
HYUNDAI SANTA FE SPORT,SP,2.0/4,AS6,X,27,38
HYUNDAI SANTA FE SPORT,SP,2.4/4,AS6,X,28,42
HYUNDAI SANTA FE SPORT 4WD,SP,2.0/4,AS6,X,26,34
HYUNDAI SANTA FE SPORT 4WD,SP,2.4/4,AS6,X,27,37
HYUNDAI SONATA,L,2.0/4,AS6,X,31,49
HYUNDAI SONATA,L,2.4/4,AS6,X,32,50
HYUNDAI TUCSON,SP,2.0/4,AS6,X,30,42
HYUNDAI TUCSON,SP,2.0/4,M5,X,27,37
HYUNDAI TUCSON,SP,2.4/4,AS6,X,29,43
HYUNDAI TUCSON 4WD,SP,2.4/4,AS6,X,28,38
HYUNDAI VELOSTER,C,1.6/4,AM6,X,39,54
HYUNDAI VELOSTER,C,1.6/4,M6,X,38,53
HYUNDAI VELOSTER TURBO,C,1.6/4,AS6,X,33,49
HYUNDAI VELOSTER TURBO,C,1.6/4,M6,X,34,50
INFINITI FX37 AWD,SP,3.7/6,AS7,Z,22,31
INFINITI FX50 AWD,SP,5.0/8,AS7,Z,19,28
INFINITI G37 CONVERTIBLE,S,3.7/6,AS7,Z,24,36
INFINITI G37 CONVERTIBLE,S,3.7/6,M6,Z,22,34
INFINITI G37 COUPE,S,3.7/6,AS7,Z,26,38
INFINITI G37 COUPE,S,3.7/6,M6,Z,23,36
INFINITI G37x COUPE,S,3.7/6,AS7,Z,24,36
INFINITI JX35 AWD,SP,3.5/6,AV,Z,25,33
INFINITI M35h,M,3.5/6,AS7,Z,38,46
INFINITI M37,M,3.7/6,AS7,Z,25,38
INFINITI M37x,M,3.7/6,AS7,Z,24,34
INFINITI M56,M,5.6/8,AS7,Z,22,35
INFINITI M56x,M,5.6/8,AS7,Z,21,33
JAGUAR XF I4T,M,2.0/4,AS8,Z,26,41
JAGUAR XF V6 SUPERCHARGED AWD,M,3.0/6,AS8,Z,22,37
JAGUAR XFR,M,5.0/8,AS8,Z,20,32
JAGUAR XFR-S,M,5.0/8,AS8,Z,20,32
JAGUAR XJ 3.0 AWD,L,3.0/6,AS8,Z,22,35
JAGUAR XJ SUPERCHARGED,L,5.0/8,AS8,Z,20,33
JAGUAR XJ SUPERSPORT,L,5.0/8,AS8,Z,20,33
JAGUAR XJL 3.0 AWD,L,3.0/6,AS8,Z,21,35
JAGUAR XJL SUPERCHARGED,L,5.0/8,AS8,Z,20,33
JAGUAR XJL SUPERSPORT,L,5.0/8,AS8,Z,20,33
JAGUAR XJL ULTIMATE,L,5.0/8,AS8,Z,20,33
JAGUAR XK CONVERTIBLE,S,5.0/8,AS6,Z,21,31
JAGUAR XK COUPE,S,5.0/8,AS6,Z,21,34
JAGUAR XKR CONVERTIBLE,S,5.0/8,AS6,Z,20,31
JAGUAR XKR COUPE,S,5.0/8,AS6,Z,20,31
JAGUAR XKR-S CONVERTIBLE,S,5.0/8,AS6,Z,20,31
JAGUAR XKR-S COUPE,S,5.0/8,AS6,Z,20,31
JEEP COMPASS,SP,2.0/4,AV,X,30,39
JEEP COMPASS,SP,2.0/4,M5,X,32,43
JEEP COMPASS,SP,2.4/4,AV,X,29,39
JEEP COMPASS,SP,2.4/4,M5,X,31,40
JEEP COMPASS 4X4,SP,2.4/4,AV,X,29,37
JEEP COMPASS 4X4,SP,2.4/4,M5,X,31,39
JEEP GRAND CHEROKEE 4X4 (FuelSaver MDS),SP,5.7/8,A6,X,17,28
JEEP GRAND CHEROKEE 4X4 FFV,SP,3.6/6,A5,E,16,24
JEEP GRAND CHEROKEE 4X4 FFV,SP,3.6/6,A5,X,22,32
JEEP GRAND CHEROKEE 4X4 SRT (FuelSaver MDS),SP,6.4/8,A5,Z,17,25
JEEP PATRIOT,SP,2.0/4,AV,X,30,39
JEEP PATRIOT,SP,2.0/4,M5,X,32,43
JEEP PATRIOT,SP,2.4/4,AV,X,29,39
JEEP PATRIOT,SP,2.4/4,M5,X,31,40
JEEP PATRIOT 4X4,SP,2.4/4,AV,X,29,37
JEEP PATRIOT 4X4,SP,2.4/4,M5,X,31,39
JEEP WRANGLER 4X4 (2-DOOR),SP,3.6/6,A5,X,22,30
JEEP WRANGLER 4X4 (2-DOOR),SP,3.6/6,M6,X,22,30
JEEP WRANGLER UNLIMITED 4X4 (4-DOOR),SP,3.6/6,A5,X,21,28
JEEP WRANGLER UNLIMITED 4X4 (4-DOOR),SP,3.6/6,M6,X,21,29
KIA FORTE,M,2.0/4,AS6,X,35,51
KIA FORTE,M,2.0/4,M6,X,35,50
KIA FORTE,M,2.4/4,AS6,X,31,46
KIA FORTE,M,2.4/4,M6,X,31,46
KIA FORTE KOUP,C,2.0/4,AS6,X,35,50
KIA FORTE KOUP,C,2.0/4,M6,X,34,47
KIA FORTE KOUP,C,2.4/4,AS6,X,31,44
KIA FORTE KOUP,C,2.4/4,M6,X,31,46
KIA OPTIMA,M,2.0/4,AS6,X,31,49
KIA OPTIMA,M,2.4/4,AS6,X,33,50
KIA OPTIMA,M,2.4/4,M6,X,32,50
KIA RIO,C,1.6/4,AS6,X,40,51
KIA RIO,C,1.6/4,M6,X,41,53
KIA RIO ECO,C,1.6/4,AS6,X,42,52
KIA SORENTO,SP,2.4/4,AS6,X,29,43
KIA SORENTO,SP,3.5/6,AS6,X,27,37
KIA SORENTO 4WD,SP,2.4/4,AS6,X,27,38
KIA SORENTO 4WD,SP,3.5/6,AS6,X,25,34
KIA SOUL,W,1.6/4,AS6,X,35,43
KIA SOUL,W,1.6/4,M6,X,35,43
KIA SOUL,W,2.0/4,AS6,X,32,40
KIA SOUL,W,2.0/4,M6,X,33,42
KIA SOUL ECO,W,2.0/4,AS6,X,33,42
KIA SPORTAGE,SP,2.4/4,AS6,X,29,43
KIA SPORTAGE,SP,2.4/4,M6,X,27,39
KIA SPORTAGE 4WD,SP,2.0/4,AS6,X,27,35
KIA SPORTAGE 4WD,SP,2.4/4,AS6,X,28,38
LAMBORGHINI AVENTADOR COUPE,T,6.5/12,AM7,Z,14,26
LAMBORGHINI AVENTADOR ROADSTER,T,6.5/12,AM7,Z,12,22
LAMBORGHINI GALLARDO COUPE,T,5.2/10,M6,Z,15,25
LAMBORGHINI GALLARDO COUPE,T,5.2/10,AS6,Z,17,26
LAMBORGHINI GALLARDO SPYDER,T,5.2/10,AS6,Z,17,26
LAMBORGHINI GALLARDO SPYDER,T,5.2/10,M6,Z,14,23
LAND ROVER LR2,SP,2.0/4,AS6,Z,24,34
LAND ROVER LR4,SP,5.0/8,AS6,Z,17,24
LAND ROVER RANGE ROVER,SP,5.0/8,AS8,Z,18,28
LAND ROVER RANGE ROVER EVOQUE,SP,2.0/4,AS6,Z,27,40
LAND ROVER RANGE ROVER EVOQUE COUPE,SP,2.0/4,AS6,Z,27,40
LAND ROVER RANGE ROVER SPORT,SP,5.0/8,AS6,Z,17,25
LAND ROVER RANGE ROVER SPORT SC,SP,5.0/8,AS6,Z,16,24
LAND ROVER RANGE ROVER SUPERCHARGED,SP,5.0/8,AS8,Z,17,27
LEXUS CT 200h,C,1.8/4,AV,X,63,59
LEXUS ES 300h,M,2.5/4,AS6,X,60,55
LEXUS ES 350,M,3.5/6,AS6,X,29,44
LEXUS GS 350,M,3.5/6,AS6,Z,26,40
LEXUS GS 350 AWD,M,3.5/6,AS6,Z,25,37
LEXUS GS 450h,M,3.5/6,AS6,Z,43,46
LEXUS GX 460,SP,4.6/8,AS6,Z,20,29
LEXUS IS 250,S,2.5/6,AS6,Z,29,43
LEXUS IS 250 AWD,S,2.5/6,AS6,Z,28,39
LEXUS IS 250C,S,2.5/6,AS6,Z,29,43
LEXUS IS 350,S,3.5/6,AS6,Z,26,39
LEXUS IS 350 AWD,S,3.5/6,AS6,Z,26,37
LEXUS IS 350C,S,3.5/6,AS6,Z,26,39
LEXUS IS F,S,5.0/8,AS8,Z,22,33
LEXUS LS 460,M,4.6/8,AS8,Z,22,34
LEXUS LS 460 AWD,M,4.6/8,AS8,Z,21,32
LEXUS LS 460 L AWD,M,4.6/8,AS8,Z,21,32
LEXUS LS 600h L,M,5.0/8,AS8,Z,27,31
LEXUS LX 570,SP,5.7/8,AS6,Z,17,24
LEXUS RX 350 AWD,SP,3.5/6,AS6,X,24,34
LEXUS RX 350 AWD,SP,3.5/6,AS8,X,25,37
LEXUS RX 450h AWD,SP,3.5/6,AS6,Z,42,39
LINCOLN MKS AWD,L,3.5/6,AS6,X,23,36
LINCOLN MKS AWD,L,3.7/6,AS6,X,24,38
LINCOLN MKT AWD,SP,3.5/6,AS6,X,22,32
LINCOLN MKT LIVERY,SP,2.0/4,AS6,X,28,40
LINCOLN MKT LIVERY AWD,SP,3.7/6,A6,X,23,34
LINCOLN MKX AWD,SP,3.7/6,AS6,X,23,32
LINCOLN MKZ,M,2.0/4,AS6,X,31,48
LINCOLN MKZ AWD,M,3.7/6,AS6,X,25,37
LINCOLN MKZ HYBRID,M,2.0/4,AV,X,67,66
LINCOLN NAVIGATOR 4X4 FFV,SP,5.4/8,A6,E,13,18
LINCOLN NAVIGATOR 4X4 FFV,SP,5.4/8,A6,X,17,25
MASERATI GRANTURISMO,S,4.7/8,AS6,Z,17,28
MASERATI GRANTURISMO CONVERTIBLE,S,4.7/8,AS6,Z,17,28
MASERATI QUATTROPORTE,L,4.7/8,AS6,Z,16,27
MAZDA CX-5,SP,2.0/4,M6,X,36,50
MAZDA CX-5,SP,2.0/4,AS6,X,37,46
MAZDA CX-5 4WD,SP,2.0/4,AS6,X,35,44
MAZDA CX-9,SP,3.7/6,AS6,X,22,34
MAZDA CX-9 4WD,SP,3.7/6,AS6,X,22,31
MAZDA MAZDA2,C,1.5/4,A4,X,40,49
MAZDA MAZDA2,C,1.5/4,M5,X,42,50
MAZDA MAZDA3 DI 4-DOOR,C,2.0/4,M6,X,37,56
MAZDA MAZDA3 DI 4-DOOR,C,2.0/4,AS6,X,40,58
MAZDA MAZDA3 DI 5-DOOR,M,2.0/4,M6,X,37,55
MAZDA MAZDA3 DI 5-DOOR,M,2.0/4,AS6,X,40,56
MAZDA MAZDA3 L5X,C,2.5/4,M6,X,28,40
MAZDA MAZDA3 L5X,C,2.5/4,AS5,X,31,42
MAZDA MAZDA3 LFX,C,2.0/4,M5,X,34,47
MAZDA MAZDA3 LFX,C,2.0/4,AS5,X,32,47
MAZDA MAZDA5,V,2.5/4,AS5,X,30,42
MAZDA MAZDA5,V,2.5/4,M6,X,29,42
MAZDA MAZDA6,M,2.5/4,M6,X,29,43
MAZDA MAZDA6,M,2.5/4,AS5,X,30,44
MAZDA MAZDA6,M,3.7/6,AS6,X,24,37
MAZDA MAZDASPEED3,M,2.3/4,M6,Z,25,35
MAZDA MX-5,T,2.0/4,M5,Z,31,40
MAZDA MX-5,T,2.0/4,M6,Z,29,40
MAZDA MX-5,T,2.0/4,AS6,Z,28,39
MERCEDES-BENZ B 250,W,2.0/4,AS7,Z,36,51
MERCEDES-BENZ C 250,C,1.8/4,AS7,Z,30,46
MERCEDES-BENZ C 250 COUPE,S,1.8/4,AS7,Z,29,46
MERCEDES-BENZ C 300 4MATIC FFV,C,3.5/6,AS7,Z,27,39
MERCEDES-BENZ C 300 4MATIC FFV,C,3.5/6,AS7,E,19,28
MERCEDES-BENZ C 350,C,3.5/6,AS7,Z,27,39
